ID,CODSEC,DIR,ZHFG,TIPORESLZHF,ESTRATO,LOCALIDAD,UPZ,LONG,LAT,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM,TIPOAEI
1,001101034200000000,CL 2S 5 80,6712415132132,2,2,4,,,,2,43.50,200000,8700000,025,A,68,36,43.50,43.50,250000,10875000,19575000,450000,3,2
2,001101063500000000,AC 1 S 4 21,6712424253432,2,2,4,,,,2,38060.90,80000,3044872000,022,A,32,79,172.80,10996.90,150000,25920000,5762390000,524001,3,2
2,001101063500000000,AC 1 S 4 21,6712424253432,2,2,4,,,,2,38060.90,80000,3044872000,025,A,58,79,9530.70,10996.90,250000,2382675000,5762390000,524001,3,2
2,001101063500000000,AC 1 S 4 21,6712424253432,2,2,4,,,,2,38060.90,80000,3044872000,025,A,62,79,812.50,10996.90,250000,203125000,5762390000,524001,3,2
2,001101063500000000,AC 1 S 4 21,6712424253432,2,2,4,,,,2,38060.90,80000,3044872000,080,A,40,79,480.90,10996.90,220000,105798000,5762390000,524001,3,2
3,001108270100000000,KR 9E 13 19 S,6030235152112,2,2,4,,,,2,972.00,160000,155520000,070,A,38,51,344.90,344.90,100000,34490000,190010000,550913,1,2
4,001111110400000000,AC 11 SUR 5 20,6232215152413,3,3,4,,,,2,300.00,200000,60000000,025,A,73,16,150.00,487.50,400000,60000000,197100000,404308,1,3
4,001111110400000000,AC 11 SUR 5 20,6232215152413,3,3,4,,,,2,300.00,200000,60000000,022,A,51,16,52.50,487.50,220000,11550000,189450000,388615,1,3
4,001111110400000000,AC 11 SUR 5 20,6232215152413,3,3,4,,,,2,300.00,200000,60000000,003,A,56,16,18.00,487.50,230000,4140000,189450000,388615,1,3
4,001111110400000000,AC 11 SUR 5 20,6232215152413,3,3,4,,,,2,300.00,200000,60000000,001,A,51,16,267.00,487.50,230000,61410000,189450000,388615,1,3
5,001201030900000000,AK 14 4 08 SUR,6232215153422,2,3,15,,,,2,3527.00,350000,1234450000,004,A,50,54,12.00,465.70,240000,2880000,1337470000,2871956,2,2
