NTAName,avg_payed,avg_dist
Gravesend (South),20.625,2.0716666666666668
Howard Beach-Lindenwood,27.08666666666667,7.7988888888888885
Rego Park,22.248500000000018,5.006142857142857
Dyker Heights,75.71307692307691,3.544615384615385
Kew Gardens Hills,16.237812500000008,3.298749999999999
Flushing Meadows-Corona Park,51.39525423728813,8.892033898305085
Ocean Hill,19.50196078431371,3.7170588235294115
Clinton Hill,15.594823321554806,3.250901060070667
Lincoln Terrace Park,15.8,3.5
Kensington,21.32636363636366,4.69173553719008
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,31.01,4.813000000000001
Springfield Gardens (North)-Rochdale Village,40.23833333333333,7.22
Prospect Park,17.418253968253953,3.9238095238095245
Bedford-Stuyvesant (East),15.499105145413957,3.172550335570467
Westerleigh-Castleton Corners,3.8,0.06
St. John Cemetery,14.05,2.8049999999999997
West New Brighton-Silver Lake-Grymes Hill,54.55,15.2
New Springville-Willowbrook-Bulls Head-Travis,48.085,0.35
South Jamaica,57.53902439024393,11.735609756097562
Bath Beach,20.736666666666668,2.4741666666666666
Ozone Park (North),14.183000000000002,2.7030000000000003
Richmond Hill,13.169354838709685,3.213870967741936
Canarsie,11.034166666666666,4.093333333333334
Springfield Gardens (South)-Brookville,59.6286111111111,14.33527777777778
Crown Heights (North),17.803405676126804,3.7934724540901454
Bensonhurst,15.17371428571429,2.6351428571428577
Flatlands,23.455769230769228,3.099615384615385
Mariner's Harbor-Arlington-Graniteville,105.13000000000001,35.4
Montefiore Cemetery,68.3,21.6
McGuire Fields,52.8,19.9
Madison,13.4,2.5940000000000003
Lower East Side,15.786661585365515,3.2787178184281807
South Richmond Hill,20.090000000000003,5.514117647058823
East Village,14.121901530514329,2.745982666420775
East Flatbush-Remsen Village,17.075000000000003,3.6700000000000004
Fort Greene,16.512548618218855,3.5314227226202672
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,46.3,13.9
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,40.3,0
Williamsburg,16.552482380580322,3.4342306186374305
Middle Village,21.55857142857143,3.7217857142857143
South Williamsburg,14.731009615384638,3.0914423076923074
SoHo-Little Italy-Hudson Square,14.17258588823666,2.692395629484676
East Flatbush-Farragut,14.549999999999999,3.5775
Cypress Hills,20.033333333333335,5.385000000000001
Glendale,19.969200000000004,5.217199999999999
Bedford-Stuyvesant (West),15.824299332697615,3.343898951382271
Queens Village,30.110000000000003,7.800999999999999
Mapleton-Midwood (West),11.560357142857148,2.204642857142857
Ridgewood,14.670955414012735,3.1615923566878994
Baisley Park,55.07883333333336,13.294333333333332
Brooklyn Heights,18.398476635513802,4.079560747663553
Chinatown-Two Bridges,15.404352233133103,3.3483338612606874
Mount Olivet & All Faiths Cemeteries,16.8,4.525
Rosebank-Shore Acres-Park Hill,10.05,2.05
Sunset Park (Central),14.291176470588237,2.6676470588235293
Marine Park-Mill Basin-Bergen Beach,18.191666666666666,3.7133333333333334
Port Richmond,8.8,1.77
East New York-New Lots,12.66666666666667,2.962666666666667
Sunset Park (West),19.01337500000007,4.458531249999998
Cambria Heights,58.26666666666667,20.006666666666664
Downtown Brooklyn-DUMBO-Boerum Hill,17.610556930693217,4.01337046204621
Gravesend (East)-Homecrest,14.584375000000005,3.4237499999999996
John F. Kennedy International Airport,54.35196774442586,15.92904545103782
Bushwick (East),17.82192170818513,3.8737366548042695
Woodhaven,22.80904761904763,5.884285714285714
Rockaway Beach-Arverne-Edgemere,3.3,20.6
Midwood,9.039583333333335,3.756249999999999
East Flatbush-Rugby,14.967500000000006,3.1725
