NTAName,count
Midtown-Times Square,87346
Midtown South-Flatiron-Union Square,54822
Upper East Side-Carnegie Hill,46422
East Midtown-Turtle Bay,40233
Chelsea-Hudson Yards,38815
Murray Hill-Kips Bay,34000
Hell's Kitchen,31941
Upper West Side (Central),31073
Upper East Side-Lenox Hill-Roosevelt Island,29457
East Village,27115
Upper West Side-Lincoln Square,25998
Upper East Side-Yorkville,23219
West Village,21565
Greenwich Village,20779
Financial District-Battery Park City,19687
Gramercy,18425
SoHo-Little Italy-Hudson Square,18396
Tribeca-Civic Center,13641
John F. Kennedy International Airport,12959
LaGuardia Airport,12693
Lower East Side,11808
Central Park,9213
Upper West Side-Manhattan Valley,8332
Williamsburg,5108
East Harlem (South),4885
Stuyvesant Town-Peter Cooper Village,4107
Morningside Heights,3426
Chinatown-Two Bridges,3157
East Harlem (North),3129
Harlem (South),2925
Downtown Brooklyn-DUMBO-Boerum Hill,2424
Astoria (Central),2403
East Williamsburg,2339
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,1890
Park Slope,1770
Queensbridge-Ravenswood-Dutch Kills,1738
Harlem (North),1709
Sunnyside,1620
Greenpoint,1598
Hamilton Heights-Sugar Hill,1478
Long Island City-Hunters Point,1306
Astoria (East)-Woodside (North),1243
Washington Heights (South),1173
Astoria (North)-Ditmars-Steinway,1126
Brooklyn Heights,1070
Bedford-Stuyvesant (West),1049
Manhattanville-West Harlem,1035
Fort Greene,977
Bushwick (West),942
Jackson Heights,926
Woodside,778
Elmhurst,636
Prospect Heights,631
Washington Heights (North),601
Crown Heights (North),599
Clinton Hill,566
Old Astoria-Hallets Point,514
Bedford-Stuyvesant (East),447
The Battery-Governors Island-Ellis Island-Liberty Island,348
Sunset Park (West),320
East Elmhurst,294
United Nations,286
Forest Hills,282
Bushwick (East),281
Mott Haven-Port Morris,262
Inwood,246
South Williamsburg,208
Prospect Lefferts Gardens-Wingate,198
Concourse-Concourse Village,181
Ridgewood,157
Windsor Terrace-South Slope,150
Melrose,144
Flatbush,142
Rego Park,140
Crown Heights (South),125
Bay Ridge,122
Kensington,121
Sunnyside Yards (North),98
Corona,92
Jamaica,89
Flatbush (West)-Ditmas Park-Parkville,88
North Corona,75
University Heights (North)-Fordham,73
Maspeth,71
Flushing-Willets Point,69
Kingsbridge-Marble Hill,66
Kew Gardens,64
Prospect Park,63
Baisley Park,60
Flushing Meadows-Corona Park,59
Mount Eden-Claremont (West),55
St. Michael's Cemetery,52
University Heights (South)-Morris Heights,52
Ocean Hill,51
Jamaica Hills-Briarwood,50
Mount Hope,44
East Flatbush-Erasmus,41
South Jamaica,41
Highbridge,41
Longwood,41
