raiz,reempla
SIN INFOR,SIN INFORMACION
SALUD,SALUD
EDUCA,EDUCACION
ESTUDI,ESTUDIANTE
NO APLI,NO APLICA
HOGAR,HOGAR
ANESTE,SALUD
PARTERIA,SALUD
ABOGA,JURIDICO
CIRUGI,SALUD
INSTRUC,EDUCACION
PENSIO,PENSIONADO
BELLEZ,ATENCION
SIN OCUP,SIN OCUPACION
MENOR DE ,MENOR DE EDAD
ARQUI,ARQUITECTURA
TRABAJOS VAR,OTROS
VENDE,COMERCIO
REVOCA,OTROS
CONDUCTOR,TRANSPORTE
INFECTOLO,SALUD
OCUPACIONES ELEMEN,OTROS
CONTADO,COMERCIO
SERVICIOS DE INFORMACION AL CLIEN,ATENCION
PROFES,EDUCACION
DOCENT,EDUCACION
MAESTR,EDUCACION
CUIDADOS PERSONALES,ATENCION
ANALIST,ANALISTAS
PROTECCION Y SEGURIDAD,SEGURIDAD
DIRECT,ADMINISTRACION
INGENIER,PROFESIONAL/INGENIERIA
BOMBER,BOMBEROS
ECONOM,PROFESIONAL/INGENIERIA
BIOLOG,BIOLOGIA
MILITAR,FUERZAS MILITARES
MEDIC,SALUD
CONSTRUC,CONSTRUCCION
CODIGO NO,OTROS
RESIDEN,SALUD
SERVICIO DE PERSO,ATENCION
COMERCIA,COMERCIO
PRODUCCION,COMERCIO
CESANT,SIN OCUPACION
FOREST,FORESTAL
TRADUCT,TRADUCCION
USUAR,OTROS
VENTA,COMERCIO
ENFERMER,SALUD
MILITAR,FUERZAS MILITARES
ASISTENTE DE MAEST,EDUCACION
ADMIN,ADMINISTRACION
AGRO,AGRICULTURA
SASTR,TEXTIL
MODIST,TEXTIL
VENTANI,ATENCION
CONTAB,COMERCIO
SACERD,CULTO
CATALOGA,CLASIFICACION
ZAPATE,COMERCIO
CARPINTE,COMERCIO
FORENS,SALUD
BASES DE DA,PROFESIONAL/INGENIERIA
HUERT,JARDINERIA
SECRETAR,ATENCION
MINER,MINERIA
CATADO,CLASIFICACION
TECHADO,COMERCIO
ARTIST,ARTE
ACTOR,ARTE
MADRE,HOGAR
MATEMAT,MATEMATICA Y ESTADISTICA
ESTADIST,MATEMATICA Y ESTADISTICA
PINTO,COMERCIO
MENSAJ,ATENCION
OPERADO,OPERACION
HERRER,COMERCIO
VIGI,SEGURIDAD
ACOMPAN,OTROS
OBISP,CULTO
MODEL,ARTE
LAVADE,COMERCIO
MENOR,MENOR DE EDAD
PSICOLO,PROFESIONAL/INGENIERIA
ARTESAN,COMERCIO
JOYER,COMERCIO
PELUQUER,COMERCIO
ESPECIALIST,SALUD
COMERC,COMERCIO
NINER,ATENCION
OPERARIO,OPERACION
TAPICE,COMERCIO
INDUSTRI,OPERACION
RELIGI,CULTO
ALBANI,COMERCIO
COMPR,COMERCIO
INFORMATIC,PROFESIONAL/INGENIERIA
COORDI,ADMINISTRACION
CORDINA,ADMINISTRACION
COREOGR,ARTE
HABITANTE DE CALLE,HABITANTE DE CALLE
POLICI,POLICIA
INSPECTO,ATENCION
MUSIC,ARTE
ODONTOLOG,SALUD
EMBALADO,OPERACION
AMA DE,HOGAR
PRENDAS,TEXTIL
ASTROLO,OTROS
LIMPIEZ,ATENCION
PPL,OTROS
LEGISLATIV,JURIDICO
FISIOTER,SALUD
ATLETA,DEPORTIVO
ELECTRICIS,COMERCIO
CUIDADOR,ATENCION
PULID,OPERACION
OBRER,OPERACION
VIAJE,ATENCION
REVIS,ATENCION
DENTIST,SALUD
DISENAD,COMERCIO
COSTUR,COMERCIO
PERIODI,ARTE
QUIMIC,PROFESIONAL/INGENIERIA
FUERZAS ARM,FUERZAS MILITARES
AUTOR,ARTE
BIBLIO,ATENCION
NOMIN,COMERCIO
